,area,bhk,bath,location,price
475,1184.0,2.0,2.0,Vasant Kunj,170.0
476,2000.0,4.0,2.0,Vasant Kunj,400.0
478,900.0,1.0,3.0,Vasant Kunj,200.0
479,4688.0,5.0,4.0,Patel Nagar,1350.0
481,3901.0,4.0,4.0,Patel Nagar,930.0
482,950.0,3.0,2.0,Uttam Nagar,43.7
485,2400.0,4.0,4.0,Greater Kailash,700.0
487,540.0,1.0,2.0,Dwarka,30.0
489,540.0,1.0,2.0,Uttam Nagar,33.0
490,976.0,2.0,2.0,Okhla,249.0
492,2700.0,4.0,3.0,Greater Kailash,600.0
493,1500.0,3.0,2.0,Dwarka,174.0
494,2900.0,5.0,5.0,Others,510.0
495,5025.0,5.0,5.0,Greater Kailash,1700.0
496,1000.0,3.0,2.0,Uttam Nagar,55.1
497,1135.0,3.0,3.0,Karol Bagh,250.0
498,2306.0,3.0,3.0,Patel Nagar,570.0
500,1200.0,3.0,3.0,Dwarka,155.0
501,1700.0,3.0,2.0,Dwarka,172.0
502,1800.0,4.0,3.0,Others,550.0
503,1100.0,2.0,2.0,Vasant Kunj,150.0
505,1550.0,4.0,3.0,Rohini,130.0
506,1600.0,3.0,3.0,Greater Kailash,300.0
509,450.0,1.0,2.0,Shahdara,29.0
510,540.0,1.0,2.0,Shahdara,170.0
511,1350.0,3.0,3.0,Shahdara,250.0
514,504.0,1.0,1.0,Shahdara,36.0
516,450.0,1.0,1.0,Shahdara,60.0
518,1800.0,4.0,3.0,Shahdara,350.0
520,1750.0,4.0,4.0,Vasant Kunj,290.0
521,2210.0,4.0,3.0,Okhla,410.0
522,760.0,1.0,2.0,Others,60.0
523,400.0,1.0,1.0,Others,25.0
524,380.0,1.0,1.0,Others,22.0
525,904.0,2.0,2.0,Others,215.0
526,900.0,1.0,1.0,Shahdara,150.0
527,810.0,1.0,5.0,Others,289.0
536,990.0,3.0,2.0,Laxmi Nagar,40.0
537,450.0,1.0,1.0,Laxmi Nagar,35.0
540,1350.0,3.0,2.0,Saket,190.0
542,2600.0,4.0,4.0,Saket,750.0
543,3000.0,4.0,5.0,Saket,750.0
544,1450.0,3.0,3.0,Saket,340.0
545,2050.0,4.0,4.0,Saket,475.0
546,3000.0,4.0,5.0,Saket,750.0
547,1800.0,3.0,3.0,Saket,230.0
548,900.0,1.0,2.0,Saket,240.0
549,1500.0,3.0,2.0,Saket,215.0
550,1500.0,3.0,2.0,Saket,285.0
552,1674.0,3.0,3.0,Saket,450.0
554,1300.0,3.0,3.0,Saket,225.0
555,990.0,3.0,3.0,Saket,280.0
556,2100.0,3.0,4.0,Saket,250.0
558,1500.0,3.0,3.0,Saket,270.0
560,1700.0,3.0,3.0,Saket,290.0
561,1700.0,3.0,3.0,Saket,300.0
562,2050.0,4.0,4.0,Saket,521.0
563,1800.0,3.0,3.0,Saket,325.0
564,1500.0,3.0,2.0,Saket,205.0
566,1500.0,3.0,3.0,Saket,300.0
569,1800.0,3.0,3.0,Safdarjung Enclave,375.0
570,1300.0,3.0,3.0,Safdarjung Enclave,325.0
571,1500.0,3.0,3.0,Safdarjung Enclave,375.0
572,2100.0,4.0,4.0,Safdarjung Enclave,550.0
573,1800.0,4.0,4.0,Safdarjung Enclave,875.0
574,1100.0,2.0,2.0,Safdarjung Enclave,163.0
575,2035.0,4.0,4.0,Safdarjung Enclave,650.0
576,1100.0,3.0,3.0,Safdarjung Enclave,250.0
577,1550.0,3.0,3.0,Safdarjung Enclave,380.0
578,700.0,2.0,2.0,Safdarjung Enclave,150.0
580,540.0,1.0,1.0,Safdarjung Enclave,30.0
581,810.0,2.0,2.0,Others,85.0
583,1600.0,3.0,3.0,Safdarjung Enclave,225.0
585,5500.0,5.0,5.0,Safdarjung Enclave,1600.0
586,900.0,1.0,3.0,Others,125.0
587,972.0,2.0,2.0,Safdarjung Enclave,170.0
589,2250.0,4.0,5.0,Safdarjung Enclave,550.0
590,1650.0,3.0,3.0,Safdarjung Enclave,350.0
592,600.0,1.0,2.0,Safdarjung Enclave,47.0
593,1700.0,4.0,5.0,Safdarjung Enclave,525.0
594,2250.0,4.0,4.0,Safdarjung Enclave,800.0
595,880.0,1.0,2.0,Safdarjung Enclave,110.0
597,1450.0,3.0,3.0,Safdarjung Enclave,375.0
598,2200.0,4.0,4.0,Safdarjung Enclave,525.0
599,1620.0,3.0,3.0,Paschim Vihar,260.0
600,1078.0,3.0,2.0,Paschim Vihar,155.0
601,1710.0,3.0,3.0,Paschim Vihar,220.0
602,1150.0,3.0,3.0,Paschim Vihar,210.0
603,450.0,1.0,2.0,Paschim Vihar,50.0
604,1818.0,3.0,3.0,Paschim Vihar,220.0
605,1800.0,3.0,2.0,Paschim Vihar,265.0
606,780.0,2.0,2.0,Paschim Vihar,87.7
607,405.0,1.0,1.0,Paschim Vihar,45.0
609,807.0,2.0,2.0,Paschim Vihar,86.0
610,2700.0,4.0,3.0,Paschim Vihar,425.0
611,1100.0,3.0,2.0,Paschim Vihar,131.0
612,585.0,1.0,2.0,Paschim Vihar,70.0
613,2153.0,3.0,3.0,Paschim Vihar,300.0
614,960.0,2.0,2.0,Paschim Vihar,130.0
616,1100.0,3.0,2.0,Paschim Vihar,160.0
617,900.0,2.0,2.0,Paschim Vihar,125.0
618,1620.0,3.0,3.0,Paschim Vihar,245.0
619,378.0,1.0,1.0,Paschim Vihar,32.0
620,800.0,1.0,2.0,Paschim Vihar,63.0
622,850.0,1.0,3.0,Paschim Vihar,57.0
623,1580.0,3.0,2.0,Paschim Vihar,210.0
625,594.0,1.0,1.0,Paschim Vihar,65.0
627,800.0,1.0,2.0,Paschim Vihar,120.0
628,1500.0,3.0,2.0,Paschim Vihar,180.0
629,1600.0,3.0,3.0,Dwarka,156.0
630,1650.0,3.0,3.0,Dwarka,155.0
631,1600.0,3.0,3.0,Dwarka,152.0
632,1900.0,3.0,3.0,Dwarka,250.0
633,1400.0,3.0,2.0,Dwarka,150.0
634,1550.0,3.0,2.0,Dwarka,158.0
635,2000.0,4.0,3.0,Dwarka,315.0
636,1500.0,3.0,3.0,Dwarka,140.0
637,1550.0,3.0,2.0,Dwarka,132.0
638,1600.0,3.0,2.0,Dwarka,158.0
639,1600.0,3.0,3.0,Dwarka,162.0
640,1800.0,3.0,2.0,Dwarka,155.0
641,1470.0,3.0,2.0,Dwarka,145.0
642,1500.0,3.0,2.0,Dwarka,149.0
643,1750.0,3.0,3.0,Dwarka,172.0
644,1650.0,3.0,3.0,Dwarka,180.0
645,1850.0,3.0,2.0,Dwarka,155.0
646,1480.0,3.0,2.0,Dwarka,158.0
647,1214.0,2.0,2.0,Dwarka,126.0
648,1380.0,3.0,2.0,Dwarka,150.0
649,1600.0,4.0,2.0,Dwarka,195.0
650,1585.0,3.0,3.0,Dwarka,166.0
651,1700.0,3.0,3.0,Dwarka,172.0
652,1200.0,2.0,2.0,Dwarka,130.0
653,1800.0,4.0,3.0,Dwarka,165.0
654,1000.0,2.0,2.0,Dwarka,107.0
655,1500.0,3.0,2.0,Dwarka,162.0
656,1700.0,3.0,2.0,Dwarka,165.0
657,1750.0,3.0,2.0,Dwarka,149.0
658,2700.0,4.0,3.0,Dwarka,275.0
659,3050.0,5.0,5.0,Commonwealth Games Village,625.0
660,3405.0,5.0,5.0,Commonwealth Games Village,700.0
661,1500.0,3.0,3.0,Commonwealth Games Village,355.0
662,2105.0,3.0,3.0,Commonwealth Games Village,421.0
663,2500.0,4.0,5.0,Others,425.0
664,2090.0,3.0,4.0,Commonwealth Games Village,440.0
666,2500.0,4.0,4.0,Commonwealth Games Village,525.0
667,2100.0,3.0,4.0,Commonwealth Games Village,343.0
668,2022.0,3.0,3.0,Others,380.0
669,2650.0,4.0,5.0,Commonwealth Games Village,525.0
670,1850.0,3.0,3.0,Commonwealth Games Village,375.0
671,2100.0,3.0,3.0,Commonwealth Games Village,370.0
672,1700.0,3.0,4.0,Commonwealth Games Village,400.0
673,2105.0,3.0,3.0,Commonwealth Games Village,362.0
674,1250.0,2.0,3.0,Commonwealth Games Village,290.0
676,3112.0,5.0,5.0,Commonwealth Games Village,600.0
677,2125.0,3.0,3.0,Commonwealth Games Village,365.0
678,2065.0,3.0,4.0,Commonwealth Games Village,425.0
679,3405.0,5.0,4.0,Commonwealth Games Village,715.0
680,3050.0,5.0,5.0,Commonwealth Games Village,650.0
681,2300.0,5.0,5.0,Commonwealth Games Village,580.0
682,1455.0,2.0,2.0,Commonwealth Games Village,275.0
683,3400.0,5.0,5.0,Commonwealth Games Village,700.0
684,3100.0,5.0,5.0,Commonwealth Games Village,650.0
685,1400.0,2.0,3.0,Commonwealth Games Village,286.0
686,2126.0,3.0,3.0,Commonwealth Games Village,390.0
687,1815.0,3.0,3.0,Commonwealth Games Village,325.0
688,1700.0,3.0,3.0,Commonwealth Games Village,340.0
689,700.0,2.0,2.0,Alaknanda,165.0
690,980.0,2.0,2.0,Alaknanda,138.0
691,1350.0,3.0,3.0,Alaknanda,210.0
693,969.0,2.0,2.0,Alaknanda,150.0
694,1250.0,3.0,3.0,Alaknanda,200.0
696,1400.0,3.0,2.0,Alaknanda,260.0
697,1000.0,3.0,3.0,Alaknanda,195.0
699,1500.0,3.0,3.0,Alaknanda,265.0
704,1100.0,2.0,2.0,Alaknanda,150.0
705,1200.0,2.0,2.0,Alaknanda,175.0
706,1400.0,2.0,2.0,Alaknanda,140.0
709,1300.0,3.0,3.0,Alaknanda,190.0
710,1150.0,2.0,2.0,Alaknanda,165.0
712,1400.0,2.0,2.0,Alaknanda,165.0
